"method_name","root","BLOCKSIZE","JOBS","LEVEL","CHECKSUM","SKIP","NoTransform","Huffman","ANS0","ANS1","Range","FPAQ","TPAQ","CM","NoEntropy","BWTS","ROLZ","RLT","ZRLT","MTFT","RANK","TEXT","X86","run_time(ms;<)","energy(mWs;<)"
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-158.83888496689354,-24.578276067132805
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-310.3415794113386,-274.92026381929924
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.1606836392143,-554.6928666983388
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-523.5270473009259,-516.6230938243441
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-530.0718806342588,-614.5795191840048
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-622.3781836392383,-1210.4436342296724
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-597.9476584120415,-177.9373939383512
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-599.0868503059169,-626.6298442448763
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-808.3418503059229,-538.764670503566
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-682.6000169725946,-85.51109891874387
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-874.7166861898244,-196.2255829138511
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-896.1340473009353,-94.70861079453289
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1755.9713250787056,-1368.579917675369
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-957.7935750787008,-1156.4194725925574
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-695.9995195231616,-606.4244073405595
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-512.6070195231623,-446.63451524494843
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-645.2045473009425,-68.18893505635026
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-507.6495473009452,-612.9252033282556
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-637.2202417453913,-654.572899855405
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1410.2672990829572,-1391.669559247718
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1154.1025490829536,-1101.4727511132924
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-614.9160238557873,-920.415934070278
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-663.9523849669007,-802.5465116873811
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1480.219662744666,-2107.8398128560843
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1123.7089127446702,-844.6278523320992
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-642.2488571891262,-500.5599325829522
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-347.002357189127,-527.9916867195898
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-486.05888496690704,-508.4054227281427
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-324.4698849669095,-368.3888831292987
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-585.3545794113559,-706.7445967643885
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-610.2418571891228,-531.7037529477792
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-534.9342183002357,-513.6897220510976
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1454.2264960780067,-962.3974493986027
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1106.3277460780012,-1136.455048818306
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-423.9486905224631,-574.9572346808518
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-413.61219052246196,-366.40392419540217
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-515.1417183002432,-597.269089553972
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-271.22071830024476,-327.7373996655325
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-526.8584127446921,-551.0807071607803
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1426.7577990829798,-2135.5934166434968
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1235.1810490829778,-277.08871362247146
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-363.45063496690625,-380.1602633469862
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-262.1879960780198,-233.2157947933514
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1303.3842738557903,-1220.0010983628242
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-917.521523855786,-1109.0459422105396
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-508.74946830024464,-663.2942522618694
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-274.9449683002462,-181.95675634488148
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-334.0294960780259,-320.7637745486018
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-153.52049607802775,-185.56652764502016
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-423.1861905224737,-94.93354617262185
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1424.8864657496665,-1110.5369285600495
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1174.0597157496604,-349.3769449708893
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1467.343465749671,-173.10812420165598
"kanzi.Global.computeHistogramOrder0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1272.4167157496638,-1147.72419640488
